driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
31-50,1-2yr,Afternoon,Above 10yr,Lorry,Normal,Other,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,Unknown,Night,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Unknown,Unknown,Slight Injury
18-30,1-2yr,Night,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Night,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
Under 18,5-10yr,Evening,2-5yrs,Other,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Night,1-2yr,Lorry,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Serious Injury
18-30,5-10yr,Afternoon,5-10yrs,Lorry,Normal,Earth roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Evening,Below 1yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
31-50,Below 1yr,Morning,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Serious Injury
31-50,Unknown,Morning,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Serious Injury
Under 18,Below 1yr,Afternoon,2-5yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Serious Injury
18-30,5-10yr,Night,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Night,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
