driver_age_band,driver_experience,time_of_day,vehicle_type,weather,road_surface,light_condition,Accident_severity
18-30,2-5yr,Afternoon,Automobile,Normal,Asphalt roads with some distress,Daylight,Slight Injury
Over 51,2-5yr,Afternoon,Automobile,Normal,Unknown,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Below 1yr,Evening,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,1-2yr,Evening,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,1-2yr,Morning,Automobile,Windy,Earth roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Morning,Lorry,Windy,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,1-2yr,Morning,Automobile,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,2-5yr,Morning,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Morning,Pickup,Raining,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
18-30,1-2yr,Evening,Motorcycle,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,2-5yr,Evening,Lorry,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,Above 10yr,Night,Automobile,Windy,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,2-5yr,Morning,Automobile,Normal,Gravel roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Unknown,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Unknown,Morning,Taxi,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,2-5yr,Morning,Taxi,Raining,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Lorry,Raining,Asphalt roads,Daylight,Slight Injury
