driver_age_band,driver_experience,time_of_day,driver_education,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_sex,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
Unknown,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Unknown,5-10yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Other,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,High school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Over 51,1-2yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
31-50,2-5yr,Evening,Junior high school,Below 1yr,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
18-30,Above 10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,Above 10yr,Morning,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Morning,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,High school,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
18-30,Below 1yr,Evening,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Elementary school,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,2-5yrs,Taxi,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,Below 1yr,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,Above 10yr,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Serious Injury
18-30,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
31-50,2-5yr,Morning,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Below 1yr,Evening,Junior high school,Unknown,Motorcycle,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Under 18,2-5yr,Afternoon,Elementary school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Unknown,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Female,Employee,Owner,Unknown,Serious Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
18-30,Unknown,Evening,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Unknown,Employee,Governmental,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
18-30,Below 1yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Morning,Junior high school,Unknown,Taxi,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Below 1yr,Morning,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Morning,Junior high school,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Afternoon,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
31-50,Below 1yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Below 1yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Elementary school,2-5yrs,Motorcycle,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Unknown,Below 1yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Writing & reading,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Writing & reading,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Evening,Junior high school,1-2yr,Taxi,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Morning,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Taxi,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Elementary school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Unknown,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,High school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Unknown,Above 10yr,Morning,High school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Elementary school,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,High school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
18-30,Below 1yr,Afternoon,Unknown,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Writing & reading,1-2yr,Motorcycle,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Above high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Unknown,1-2yr,Evening,Junior high school,1-2yr,Motorcycle,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,No Licence,Morning,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,Junior high school,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Illiterate,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,Below 1yr,Evening,Junior high school,Unknown,Public_transport,Other,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Serious Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Lorry,Other,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Serious Injury
31-50,2-5yr,Afternoon,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Unknown,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Under 18,Above 10yr,Morning,Unknown,Unknown,Other,Raining,Asphalt roads,Daylight,Male,Owner,Organization,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Writing & reading,Unknown,Lorry,Normal,Gravel roads,Daylight,Male,Owner,Governmental,Unknown,Slight Injury
Over 51,Unknown,Afternoon,Unknown,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,Junior high school,5-10yrs,Taxi,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
Under 18,2-5yr,Evening,Elementary school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Over 51,2-5yr,Morning,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads with some distress,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Serious Injury
18-30,Below 1yr,Night,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Night,Unknown,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Unknown,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Unknown,Above 10yr,Morning,High school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Serious Injury
Unknown,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Female,Employee,Governmental,Unknown,Slight Injury
31-50,5-10yr,Evening,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
31-50,Below 1yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Unknown,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Writing & reading,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,1-2yr,Afternoon,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,Above 10yr,Evening,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,Below 1yr,Morning,Elementary school,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,High school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Above high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,Below 1yr,Morning,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Evening,High school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,Elementary school,Above 10yr,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Slight Injury
Unknown,5-10yr,Night,Elementary school,Above 10yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Female,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,High school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Elementary school,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Evening,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,Junior high school,Above 10yr,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Evening,Elementary school,5-10yrs,Lorry,Normal,Asphalt roads with some distress,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
